feature,importance_mean,importance_std
bmi,0.27062499938197265,0.040284162838071735
s5,0.25055915895501923,0.03913231599572551
bp,0.04191425495481723,0.02917563225328774
s6,0.02713182370833831,0.011994847581325071
s3,0.009193266227898756,0.0063655515856818
sex,0.007710019242461752,0.0022059820302324693
s4,0.007126431439412773,0.0054132920613329
age,-0.00022787464828765146,0.005855134006710113
s2,-0.0006681721329376833,0.0026199990599072927
s1,-0.007709590442775349,0.007569771218954569
