model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Logistic regression,0.8558558558558559,0.8089500860585198,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9221170395869192
Regularized logistic regression,0.8558558558558559,0.8089500860585198,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9216867469879517
Random forest classifier,0.8648648648648649,0.8031411359724613,0.76,0.6785714285714286,0.7169811320754716,0.901462994836489
Gaussian Naive Bayes,0.8378378378378378,0.8205679862306368,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.8838209982788297
Majority baseline,0.7477477477477478,0.5,0.0,0.0,0.0,0.5
