model,RMSE,MAE,R2
Random forest regressor,52.692803821930234,41.83186877076914,0.49788655854296837
Lasso regression,53.27377317219118,41.47952141600393,0.4867533240152443
Ridge regression,53.29721814501664,41.48572359255612,0.48630148058699973
Linear regression,53.36956671032198,41.548506859880625,0.48490588894767506
Gradient boosting regressor,54.86185459809343,43.04784815311795,0.4556976611812643
Mean baseline,74.88122548938378,65.52742168150024,-0.014016723490579253
